filename	FlatField	Position	group	acq	frame	TimestampImage	XY	PixelSize	PlateType	Z	Zindex	Objective	Exposure	Channel	Fluorophore	Skip	illumOnly	TimestampFrame
img_000000000_ExRai_405_000.tif	GFP_20xHighNA	here	here	Dish1_1	1	737359.4942295371	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7484.151		3-Plan-Apochromat 20x/0.8 M27	100	ExRai_405	ExRai_ABKAR	1	0	737359.4942304052
img_000000000_GFP_000.tif	GFP_20xHighNA	here	here	Dish1_1	1	737359.4942312732	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7484.151		3-Plan-Apochromat 20x/0.8 M27	100	GFP	ExRai_ABKAR	1	0	737359.4942304052
img_000000001_ExRai_405_000.tif	GFP_20xHighNA	here	here	Dish1_1	2	737359.4945677662	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7484.733		3-Plan-Apochromat 20x/0.8 M27	100	ExRai_405	ExRai_ABKAR	1	0	737359.4945685475
img_000000001_GFP_000.tif	GFP_20xHighNA	here	here	Dish1_1	2	737359.4945693287	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7484.733		3-Plan-Apochromat 20x/0.8 M27	100	GFP	ExRai_ABKAR	1	0	737359.4945685475
img_000000002_ExRai_405_000.tif	GFP_20xHighNA	here	here	Dish1_1	3	737359.4949141435	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7485.043000000001		3-Plan-Apochromat 20x/0.8 M27	100	ExRai_405	ExRai_ABKAR	1	0	737359.4949151041
img_000000002_GFP_000.tif	GFP_20xHighNA	here	here	Dish1_1	3	737359.4949160648	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7485.043000000001		3-Plan-Apochromat 20x/0.8 M27	100	GFP	ExRai_ABKAR	1	0	737359.4949151041
img_000000003_ExRai_405_000.tif	GFP_20xHighNA	here	here	Dish1_1	4	737359.4952599537	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7485.043000000001		3-Plan-Apochromat 20x/0.8 M27	100	ExRai_405	ExRai_ABKAR	1	0	737359.4952606424
img_000000003_GFP_000.tif	GFP_20xHighNA	here	here	Dish1_1	4	737359.495261331	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7485.043000000001		3-Plan-Apochromat 20x/0.8 M27	100	GFP	ExRai_ABKAR	1	0	737359.4952606424
img_000000004_ExRai_405_000.tif	GFP_20xHighNA	here	here	Dish1_1	5	737359.4956065393	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7485.043000000001		3-Plan-Apochromat 20x/0.8 M27	100	ExRai_405	ExRai_ABKAR	1	0	737359.4956072569
img_000000004_GFP_000.tif	GFP_20xHighNA	here	here	Dish1_1	5	737359.4956079746	-79717                  13725	0.3136	Microfluidics Wounding Device Ver 3.0	7485.043000000001		3-Plan-Apochromat 20x/0.8 M27	100	GFP	ExRai_ABKAR	1	0	737359.4956072569
